sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
0,,848447009,0.8856227810838401,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0000/sample_0000.pdb,32,240050253,0,4,0,1,True
32,,848447009,0.7805482582587504,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0032/sample_0032.pdb,32,240050285,32,4,0,2,True
40,,848447009,0.7661582418416785,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0040/sample_0040.pdb,32,240050293,40,4,0,3,True
56,,848447009,0.7631578396206459,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0056/sample_0056.pdb,32,240050309,56,4,0,4,True
16,,848447009,0.7618072157785445,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0016/sample_0016.pdb,32,240050269,16,4,0,5,True
92,,848447009,0.7603223433864427,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0092/sample_0092.pdb,32,240050345,92,4,0,6,True
20,,848447009,0.7594890756052942,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0020/sample_0020.pdb,32,240050273,20,4,0,7,True
72,,848447009,0.758563826178331,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0072/sample_0072.pdb,32,240050325,72,4,0,8,True
28,,848447009,0.7580025463978761,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0028/sample_0028.pdb,32,240050281,28,4,0,9,True
41,,848447009,0.7331925293660155,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0041/sample_0041.pdb,32,240050293,40,4,1,10,True
25,,848447009,0.7327587488399196,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0025/sample_0025.pdb,32,240050277,24,4,1,11,False
24,,848447009,0.7136477287270405,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0024/sample_0024.pdb,32,240050277,24,4,0,12,False
73,,848447009,0.7135390637106097,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0073/sample_0073.pdb,32,240050325,72,4,1,13,False
4,,848447009,0.7091252775151287,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0004/sample_0004.pdb,32,240050257,4,4,0,14,False
52,,848447009,0.7085760905869763,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0052/sample_0052.pdb,32,240050305,52,4,0,15,False
80,,848447009,0.6957380158694666,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0080/sample_0080.pdb,32,240050333,80,4,0,16,False
60,,848447009,0.6757620156763924,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0060/sample_0060.pdb,32,240050313,60,4,0,17,False
88,,848447009,0.668005323848546,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0088/sample_0088.pdb,32,240050341,88,4,0,18,False
84,,848447009,0.6661839934222591,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0084/sample_0084.pdb,32,240050337,84,4,0,19,False
1,,848447009,0.6583397375957867,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0001/sample_0001.pdb,32,240050253,0,4,1,20,False
96,,848447009,0.6533157810560987,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0096/sample_0096.pdb,32,240050349,96,4,0,21,False
36,,848447009,0.6520935474047811,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0036/sample_0036.pdb,32,240050289,36,4,0,22,False
48,,848447009,0.6486716050928714,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/batch4_trial01/replicate_848447009/samples/sample_0048/sample_0048.pdb,32,240050301,48,4,0,23,False
