sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
32,,1544345179,0.7776702289800101,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0032/sample_0032.pdb,32,4126805125,32,16,0,1,True
48,,1544345179,0.7688783308332428,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0048/sample_0048.pdb,32,4126805141,48,16,0,2,True
34,,1544345179,0.7372368854738639,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0034/sample_0034.pdb,32,4126805125,32,16,2,3,True
16,,1544345179,0.7335015571380122,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0016/sample_0016.pdb,32,4126805109,16,16,0,4,True
17,,1544345179,0.7332480750724806,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0017/sample_0017.pdb,32,4126805109,16,16,1,5,True
64,,1544345179,0.7150230545695222,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0064/sample_0064.pdb,32,4126805157,64,16,0,6,True
65,,1544345179,0.696874202196509,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0065/sample_0065.pdb,32,4126805157,64,16,1,7,True
80,,1544345179,0.6777176147641201,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0080/sample_0080.pdb,32,4126805173,80,16,0,8,True
82,,1544345179,0.6338184201674603,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0082/sample_0082.pdb,32,4126805173,80,16,2,9,True
50,,1544345179,0.6240522077808704,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0050/sample_0050.pdb,32,4126805141,48,16,2,10,True
22,,1544345179,0.6086929396600804,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0022/sample_0022.pdb,32,4126805109,16,16,6,11,False
1,,1544345179,0.5958182451184264,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0001/sample_0001.pdb,32,4126805093,0,16,1,12,False
