seed,N,K,mean_of_K,max_of_K
70118930,100,10,0.9182981670107049,0.9458897231029538
1869680097,100,10,0.8998130622000943,0.9154769350739613
1232451588,100,10,0.8854885360183126,0.8856053388036917
825015182,100,10,0.920580447204569,0.9205961740260443
679479962,100,10,0.9155881157145975,0.925905261691053
444290507,100,10,0.9696689876072753,0.9696765393505087
53672067,100,10,0.8831957078752083,0.9181420781891786
1739327440,100,10,0.8786522390315895,0.9317428194383636
397142107,100,10,0.9275025266340393,0.9434531161793939
111478797,100,10,0.8869586243619663,0.8969956952029321
