budget,N,K,M,d,k,D,latent_dim,chart_version,inference_batch_size,bo_batch_size,timings_this_session,o3_chart,generator_atom_count,generator_atom_slots,seed,oracle_evaluations,generator_sampling,selection_metric,phase1_max,new_points_max,new_points_improvement,max_of_K,top_k_mean,mean_of_K,best_structure,output_dir,generator,msa_cache,runtime
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1439.9281485527754, 'scoring_seconds': 6.3609800059348345, 'acquisition_seconds': 9.18022177927196, 'wall_seconds': 1455.6100043915212}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,70118930,100,deterministic_pf_ode,oracle_tm_score,0.9458897231029538,0.9377205557586988,-0.00816916734425499,0.9458897231029538,0.9182981670107049,0.9182981670107049,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_70118930/phase1/sample_0030.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_70118930,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.5624040924013, 'scoring_seconds': 6.276549020782113, 'acquisition_seconds': 36.302839670330286, 'wall_seconds': 1483.2965051140636}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1869680097,100,deterministic_pf_ode,oracle_tm_score,0.8966140262757715,0.9154769350739613,0.01886290879818986,0.9154769350739613,0.8998130622000943,0.8998130622000943,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1869680097/bo/round_0031.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1869680097,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.5364046022296, 'scoring_seconds': 7.045805897563696, 'acquisition_seconds': 35.28723228909075, 'wall_seconds': 1483.0141464322805}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1232451588,100,deterministic_pf_ode,oracle_tm_score,0.8854753645500241,0.8856053388036917,0.00012997425366767512,0.8856053388036917,0.8854885360183126,0.8854885360183126,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1232451588/bo/round_0032.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1232451588,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.6401349715889, 'scoring_seconds': 6.682693719863892, 'acquisition_seconds': 31.26430381089449, 'wall_seconds': 1478.7338389251381}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,825015182,100,deterministic_pf_ode,oracle_tm_score,0.9205673030417976,0.9205961740260443,2.8870984246753828e-05,0.9205961740260443,0.920580447204569,0.920580447204569,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_825015182/bo/round_0038.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_825015182,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.4445269163698, 'scoring_seconds': 6.471318097785115, 'acquisition_seconds': 31.5755077842623, 'wall_seconds': 1478.6308925505728}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,679479962,100,deterministic_pf_ode,oracle_tm_score,0.9071046695083518,0.925905261691053,0.018800592182701248,0.925905261691053,0.9155881157145975,0.9155881157145975,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_679479962/bo/round_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_679479962,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.6948517672718, 'scoring_seconds': 6.1737045571208, 'acquisition_seconds': 36.61382738687098, 'wall_seconds': 1483.63419261761}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,444290507,100,deterministic_pf_ode,oracle_tm_score,0.9696668874924411,0.9696765393505087,9.651858067560859e-06,0.9696765393505087,0.9696689876072753,0.9696689876072753,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_444290507/bo/round_0028.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_444290507,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1441.412683693692, 'scoring_seconds': 6.8187019638717175, 'acquisition_seconds': 25.39177911914885, 'wall_seconds': 1473.7655683085322}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,53672067,100,deterministic_pf_ode,oracle_tm_score,0.8297493320021392,0.9181420781891786,0.0883927461870394,0.9181420781891786,0.8831957078752083,0.8831957078752083,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_53672067/bo/round_0015.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_53672067,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1441.082924662158, 'scoring_seconds': 6.546511916443706, 'acquisition_seconds': 10.100402403622866, 'wall_seconds': 1457.8738134708256}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1739327440,100,deterministic_pf_ode,oracle_tm_score,0.9317218135197821,0.9317428194383636,2.100591858145151e-05,0.9317428194383636,0.8786522390315895,0.8786522390315895,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1739327440/bo/round_0037.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_1739327440,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.6520985681564, 'scoring_seconds': 6.436878873035312, 'acquisition_seconds': 36.01161491125822, 'wall_seconds': 1483.2426256984472}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,397142107,100,deterministic_pf_ode,oracle_tm_score,0.8676166189488975,0.9434531161793939,0.07583649723049635,0.9434531161793939,0.9275025266340393,0.9275025266340393,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_397142107/bo/round_0027.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_397142107,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n100_k10,100,10,50,5,10,3552,3552,latent-spaces-by-example-kr-0.1.2,16,1,"{'generation_seconds': 1440.629534650594, 'scoring_seconds': 6.824317255988717, 'acquisition_seconds': 25.26964147761464, 'wall_seconds': 1472.864442806691}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,111478797,100,deterministic_pf_ode,oracle_tm_score,0.8666334154060329,0.8969956952029321,0.030362279796899205,0.8969956952029321,0.8869586243619663,0.8869586243619663,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_111478797/bo/round_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/n100_k10_20260908_122004/seed_111478797,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
