index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.5836205085865286,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0000.npy,n100_k10,1269247094,
1,phase1_random,0.781817653076229,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0001.npy,n100_k10,1269247094,
2,phase1_random,0.49463992283315456,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0002.npy,n100_k10,1269247094,
3,phase1_random,0.5892660893760738,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0003.npy,n100_k10,1269247094,
4,phase1_random,0.4360997944826179,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0004.npy,n100_k10,1269247094,
5,phase1_random,0.5987029493188857,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0005.npy,n100_k10,1269247094,
6,phase1_random,0.5634719321525075,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0006.npy,n100_k10,1269247094,
7,phase1_random,0.7091468411039232,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0007.npy,n100_k10,1269247094,
8,phase1_random,0.7114294836044335,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0008.npy,n100_k10,1269247094,
9,phase1_random,0.773227382135161,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/o3/runs/sep09_step1_r5/seed_1269247094/latents/latent_0009.npy,n100_k10,1269247094,
