seed,N,K,mean_of_K,max_of_K
70118930,100,10,0.8706192237569302,0.9462152221989348
1869680097,100,10,0.8429080927902712,0.9288339665419605
1232451588,100,10,0.8405841718160156,0.9194141120979042
825015182,100,10,0.8597777754701983,0.9237509477085433
679479962,100,10,0.8158215192325319,0.9073098711551487
444290507,100,10,0.8527249765966068,0.9695620268117432
53672067,100,10,0.8139040483406609,0.8965853503729598
1739327440,100,10,0.8318700347355191,0.9322854163826313
397142107,100,10,0.8221194864180641,0.8848402834709453
111478797,100,10,0.8238181810502034,0.8641484663541286
