seed,N,K,best_k_of_n_mean_of_K,best_k_of_n_max_of_K,o3_mean_of_K,o3_max_of_K,random_pfode_mean_of_K,random_pfode_max_of_K,best_mean_of_K_method,best_max_of_K_method
70118930,100,10,0.804978518520775,0.8674259881352395,0.9182981670107049,0.9458897231029538,0.8706192237569302,0.9462152221989348,o3,random_pfode
1869680097,100,10,0.7770157656716223,0.8549649212582895,0.8998130622000943,0.9154769350739613,0.8429080927902712,0.9288339665419605,o3,random_pfode
1232451588,100,10,0.7813323869238084,0.8523788967536006,0.8854885360183126,0.8856053388036917,0.8405841718160156,0.9194141120979042,o3,random_pfode
825015182,100,10,0.7528771691929144,0.7870002639592214,0.920580447204569,0.9205961740260443,0.8597777754701983,0.9237509477085433,o3,random_pfode
679479962,100,10,0.7819069386372146,0.9025399326287508,0.9155881157145975,0.925905261691053,0.8158215192325319,0.9073098711551487,o3,o3
444290507,100,10,0.7922269670343142,0.9084930719298929,0.9696689876072753,0.9696765393505087,0.8527249765966068,0.9695620268117432,o3,o3
53672067,100,10,0.7509512776037803,0.8154877233676905,0.8831957078752083,0.9181420781891786,0.8139040483406609,0.8965853503729598,o3,o3
1739327440,100,10,0.7588431382124574,0.7939722046305517,0.8786522390315895,0.9317428194383636,0.8318700347355191,0.9322854163826313,o3,random_pfode
397142107,100,10,0.7747541771716995,0.8313447658207177,0.9275025266340393,0.9434531161793939,0.8221194864180641,0.8848402834709453,o3,o3
111478797,100,10,0.7648279012456185,0.7893130445918675,0.8869586243619663,0.8969956952029321,0.8238181810502034,0.8641484663541286,o3,o3
