index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.800949753185148,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0000.npy,n20_k2,2123994547,
1,phase1_random,0.5532796425241704,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0001.npy,n20_k2,2123994547,
2,phase1_random,0.6929369361216309,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0002.npy,n20_k2,2123994547,
3,phase1_random,0.5054163383730098,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0003.npy,n20_k2,2123994547,
4,phase1_random,0.623219686301915,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0004.npy,n20_k2,2123994547,
5,phase1_random,0.7379581947914762,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0005.npy,n20_k2,2123994547,
6,phase1_random,0.7119154863589402,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0006.npy,n20_k2,2123994547,
7,phase1_random,0.6217454553593852,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0007.npy,n20_k2,2123994547,
8,phase1_random,0.5048804249984289,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0008.npy,n20_k2,2123994547,
9,phase1_random,0.5607352085218124,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/latents/latent_0009.npy,n20_k2,2123994547,
