index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.5724412238560486,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0000.npy,n20_k2,833980046,
1,phase1_random,0.7259469837872659,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0001.npy,n20_k2,833980046,
2,phase1_random,0.5431898771587267,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0002.npy,n20_k2,833980046,
3,phase1_random,0.7354371777679998,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0003.npy,n20_k2,833980046,
4,phase1_random,0.808905413057514,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0004.npy,n20_k2,833980046,
5,phase1_random,0.8874482083864585,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0005.npy,n20_k2,833980046,
6,phase1_random,0.6254159833403237,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0006.npy,n20_k2,833980046,
7,phase1_random,0.9026031320063481,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0007.npy,n20_k2,833980046,
8,phase1_random,0.571112206056438,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0008.npy,n20_k2,833980046,
9,phase1_random,0.6895457543000625,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0009.npy,n20_k2,833980046,
10,bo_initial_random,0.6121452466535302,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/initial_00.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0010.npy,n20_k2,833980046,"[0.9892860880318042, 0.13209804482988463, 0.16914587329070663, 0.6269658609022405]"
11,bo_initial_random,0.7801075989936472,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/initial_01.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0011.npy,n20_k2,833980046,"[0.12642784418135478, 0.2502397815716707, 0.11506953853455826, 0.5444100649517488]"
12,bo_acquisition,0.6958979130719132,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0012.npy,n20_k2,833980046,"[0.027960036683374014, 0.19564728759022332, 0.9985386009844175, 0.7596007046306401]"
13,bo_acquisition,0.7167704199185294,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0013.npy,n20_k2,833980046,"[0.20454738941043615, 0.7898747073486447, 0.8764543877914548, 0.9795872792601585]"
14,bo_acquisition,0.7153099725627655,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0014.npy,n20_k2,833980046,"[0.21485644113272429, 0.2776858936995268, 0.9089156920090318, 0.9594173459336162]"
15,bo_acquisition,0.7025059195710259,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0015.npy,n20_k2,833980046,"[0.17780166026204824, 0.5865739453583956, 0.7554820105433464, 0.9963640607893467]"
16,bo_acquisition,0.6913587054367248,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0016.npy,n20_k2,833980046,"[0.31208580639213324, 0.9917411068454385, 0.8296375432983041, 0.9986273823305964]"
17,bo_acquisition,0.7072007782438835,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0017.npy,n20_k2,833980046,"[0.14527011383324862, 0.3258391749113798, 0.9387211846187711, 0.9709768751636147]"
18,bo_acquisition,0.8658220921391293,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0018.npy,n20_k2,833980046,"[0.8501028530299664, 0.039597307331860065, 0.7593514304608107, 0.9398205857723951]"
19,bo_acquisition,0.805008193717101,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/bo/round_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/codex_example_20260907/seed_833980046/latents/latent_0019.npy,n20_k2,833980046,"[0.45239212829619646, 0.011112834326922894, 0.8154630698263645, 0.9862786894664168]"
