index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.8024589492906987,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0000.npy,n50_k5,927234936,
1,phase1_random,0.5829824993915682,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0001.npy,n50_k5,927234936,
2,phase1_random,0.6722410326289388,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0002.npy,n50_k5,927234936,
3,phase1_random,0.6707416565492781,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0003.npy,n50_k5,927234936,
4,phase1_random,0.500316856126995,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0004.npy,n50_k5,927234936,
5,phase1_random,0.7558109126747472,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0005.npy,n50_k5,927234936,
6,phase1_random,0.8113859829545093,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0006.npy,n50_k5,927234936,
7,phase1_random,0.8431291667883348,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0007.npy,n50_k5,927234936,
8,phase1_random,0.6615645172446548,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0008.npy,n50_k5,927234936,
9,phase1_random,0.8031577989253535,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0009.npy,n50_k5,927234936,
10,phase1_random,0.510214211506744,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0010.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0010.npy,n50_k5,927234936,
11,phase1_random,0.5744979023030271,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0011.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0011.npy,n50_k5,927234936,
12,phase1_random,0.49515034199356756,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0012.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0012.npy,n50_k5,927234936,
13,phase1_random,0.606754379214617,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0013.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0013.npy,n50_k5,927234936,
14,phase1_random,0.6193049282186495,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0014.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0014.npy,n50_k5,927234936,
15,phase1_random,0.7554033420775244,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0015.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0015.npy,n50_k5,927234936,
16,phase1_random,0.7052881283032857,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0016.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0016.npy,n50_k5,927234936,
17,phase1_random,0.6813750926218636,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0017.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0017.npy,n50_k5,927234936,
18,phase1_random,0.5284771895139053,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0018.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0018.npy,n50_k5,927234936,
19,phase1_random,0.700914890979316,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0019.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0019.npy,n50_k5,927234936,
20,phase1_random,0.6758817022015229,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0020.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0020.npy,n50_k5,927234936,
21,phase1_random,0.5022372820657367,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0021.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0021.npy,n50_k5,927234936,
22,phase1_random,0.5628033767607672,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0022.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0022.npy,n50_k5,927234936,
23,phase1_random,0.6166707961935569,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0023.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0023.npy,n50_k5,927234936,
24,phase1_random,0.626686332768073,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/phase1/sample_0024.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0024.npy,n50_k5,927234936,
25,bo_initial_random,0.6635111637649975,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/bo/initial_00.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0025.npy,n50_k5,927234936,"[0.6551051065646778, 0.022540515897028546, 0.18267121430610556, 0.6883878313700469, 0.24174895027291332, 0.5743590242608665]"
26,bo_initial_random,0.6896885612701599,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/bo/initial_01.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0026.npy,n50_k5,927234936,"[0.9869623661492253, 0.9589146559675334, 0.7956573400530931, 0.8868147826040912, 0.8094394579064838, 0.4424723271744543]"
27,bo_acquisition,0.49971140878658854,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/bo/round_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_927234936/latents/latent_0027.npy,n50_k5,927234936,"[0.1382979623476971, 0.21066816943329292, 0.9101808126954242, 0.9999999999999993, 0.9999999999999988, 0.9999999999999988]"
