index,stage,score,structure,latent_file,budget,seed
0,best_k_of_n,0.3178762938482395,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0000.npy,n100_k10,20251126
1,best_k_of_n,0.3380992738741921,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0001.npy,n100_k10,20251126
2,best_k_of_n,0.39828425018670727,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0002.npy,n100_k10,20251126
3,best_k_of_n,0.40764385224928923,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0003.npy,n100_k10,20251126
4,best_k_of_n,0.32554093045255583,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0004.npy,n100_k10,20251126
5,best_k_of_n,0.4047725302341438,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0005.npy,n100_k10,20251126
6,best_k_of_n,0.36620236953634355,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0006.npy,n100_k10,20251126
7,best_k_of_n,0.41090029337891065,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0007.npy,n100_k10,20251126
8,best_k_of_n,0.3330748776713982,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0008.npy,n100_k10,20251126
9,best_k_of_n,0.37169403243456695,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0009.npy,n100_k10,20251126
10,best_k_of_n,0.3430706556098213,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0010.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0010.npy,n100_k10,20251126
11,best_k_of_n,0.347369610151388,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0011.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0011.npy,n100_k10,20251126
12,best_k_of_n,0.4048391466952176,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0012.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0012.npy,n100_k10,20251126
13,best_k_of_n,0.3906193996065223,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0013.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0013.npy,n100_k10,20251126
14,best_k_of_n,0.3779529618226463,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0014.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0014.npy,n100_k10,20251126
15,best_k_of_n,0.34531223659422206,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/random/sample_0015.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/30jr/n100_k10/runs/30jr_paired_r2/stochastic/seed_20251126/latents/latent_0015.npy,n100_k10,20251126
