N,K,seed,o3_max_of_K,best_k_of_n_max_of_K,delta_max_of_K,o3_mean_of_K,best_k_of_n_mean_of_K,delta_mean_of_K
100,10,111478797,0.8969956952029321,0.7893130445918675,0.10768265061106463,0.8869586243619663,0.7648279012456185,0.12213072311634776
100,10,1232451588,0.8856053388036917,0.8523788967536006,0.033226442050091176,0.8854885360183126,0.7813323869238084,0.10415614909450421
100,10,1739327440,0.9317428194383636,0.7939722046305517,0.13777061480781183,0.8786522390315895,0.7588431382124574,0.1198091008191321
100,10,1869680097,0.9154769350739613,0.8549649212582895,0.06051201381567184,0.8998130622000943,0.7770157656716223,0.12279729652847193
100,10,397142107,0.9434531161793939,0.8313447658207177,0.11210835035867617,0.9275025266340393,0.7747541771716995,0.15274834946233984
100,10,444290507,0.9696765393505087,0.9084930719298929,0.061183467420615756,0.9696689876072753,0.7922269670343142,0.1774420205729611
100,10,53672067,0.9181420781891786,0.8154877233676905,0.1026543548214881,0.8831957078752083,0.7509512776037803,0.13224443027142796
100,10,679479962,0.925905261691053,0.9025399326287508,0.023365329062302265,0.9155881157145975,0.7819069386372146,0.13368117707738292
100,10,70118930,0.9458897231029538,0.8674259881352395,0.0784637349677143,0.9182981670107049,0.804978518520775,0.11331964848992993
100,10,825015182,0.9205961740260443,0.7870002639592214,0.13359591006682292,0.920580447204569,0.7528771691929144,0.16770327801165463
