N,K,seed,o3_max_of_K,best_k_of_n_max_of_K,delta_max_of_K,o3_mean_of_K,best_k_of_n_mean_of_K,delta_mean_of_K
20,2,1559808369,0.851911916052345,0.8137020131215587,0.0382099029307863,0.83609079326799,0.8015115965080517,0.03457919675993826
20,2,1826899933,0.8177727136271749,0.7736290955457501,0.04414361808142475,0.8162163946853973,0.768010849887103,0.04820554479829431
20,2,1847648099,0.8450651175926851,0.759129010887277,0.08593610670540808,0.8450565812769248,0.7411931015566767,0.10386347972024812
20,2,2123994547,0.800949753185148,0.7580552807225392,0.0428944724626088,0.7821070669652128,0.7483107739001994,0.033796293065013416
20,2,408952644,0.8243486609036632,0.7229016708694744,0.10144699003418878,0.8243052439777483,0.7100491334998376,0.11425611047791073
50,5,1156948668,0.8621079292470197,0.8215745902764557,0.04053333897056399,0.8613115328571865,0.7717133893651329,0.08959814349205364
50,5,1468070709,0.9184402083979832,0.7807395726161421,0.1377006357818411,0.9143978247596609,0.7663602461963885,0.14803757856327238
50,5,1693878717,0.8633008344483601,0.8833235740242105,-0.020022739575850323,0.8626136978310308,0.8007764028294024,0.06183729500162838
50,5,799272582,0.875131124967711,0.8672662817393302,0.007864843228380769,0.8749224417227914,0.7815287219227283,0.09339371980006317
50,5,927234936,0.9119522303515097,0.7967766198774155,0.11517561047409419,0.8511716256937201,0.7697366185217215,0.08143500717199859
100,10,1742467283,0.8454637144504215,0.8729378043258762,-0.027474089875454744,0.8369318477719201,0.8069735769443536,0.029958270827566524
100,10,538588060,0.9343615336175488,0.7793296516812303,0.15503188193631856,0.9198776477970967,0.7568501195530999,0.1630275282439968
100,10,848447009,0.9419502531070881,0.8856227810838401,0.05632747202324806,0.908770552185287,0.7726864657517419,0.13608408643354508
